id,user_id,item_id,title,developer,release_date,price,recommend,year_posted,sentiment_analysis,playtime_forever
7656119797098247922200,76561197970982479,22200,Zeno Clash,ACE Team,2009.0,9.99,1,2011,2,271
765611979709824791250,76561197970982479,1250,Killing Floor,Tripwire Interactive,2009.0,19.99,1,2011,2,10006
js41637227300,js41637,227300,Euro Truck Simulator 2,SCS Software,2013.0,19.99,1,2013,1,551
js41637239030,js41637,239030,"Papers, Please",3909,2013.0,9.99,1,2013,1,349
evcentric107200,evcentric,107200,Space Pirates and Zombies,MinMax Games Ltd.,2011.0,9.99,1,2014,2,3225
evcentric224500,evcentric,224500,Gnomoria,Robotronic Games,2016.0,14.99,1,2014,2,13618
evcentric263360,evcentric,263360,3089 -- Futuristic Action RPG,Phr00t's Software,2014.0,6.99,1,2014,0,447
evcentric237930,evcentric,237930,Transistor,Supergiant Games,2014.0,19.99,1,2014,2,508
evcentric370360,evcentric,370360,TIS-100,Zachtronics,2015.0,6.99,1,2015,2,403
doctr20920,doctr,20920,The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,2011.0,19.99,1,2012,2,2981
doctr108710,doctr,108710,Alan Wake,Remedy Entertainment,2012.0,9.99,1,2012,2,1185
doctr207610,doctr,207610,The Walking Dead,Telltale Games,2012.0,24.99,1,2012,0,1972
doctr204100,doctr,204100,Max Payne 3,Rockstar Studios,2012.0,19.99,1,2012,2,5297
doctr250320,doctr,250320,The Wolf Among Us,Telltale Games,2013.0,24.99,1,2013,2,778
maplemage211420,maplemage,211420,DARK SOULS™: Prepare To Die™ Edition,FromSoftware,2012.0,19.99,1,2014,1,12347
maplemage204300,maplemage,204300,Awesomenauts - the 2D moba,Ronimo Games,2012.0,0.0,1,2013,2,17589
maplemage730,maplemage,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2014,2,13955
maplemage211820,maplemage,211820,Starbound,Chucklefish,2016.0,14.99,1,2013,1,3436
76561198077246154304930,76561198077246154,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,1,25150
WeiEDKrSat4000,WeiEDKrSat,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2013,1,16441
thequeenpanda42910,thequeenpanda,42910,Magicka,Arrowhead Game Studios,2011.0,9.99,1,2012,1,1219
death-hunter4000,death-hunter,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2014,2,243840
death-hunter232090,death-hunter,232090,Killing Floor 2,Tripwire Interactive,2016.0,29.99,1,2015,1,3789
DJKamBer1250,DJKamBer,1250,Killing Floor,Tripwire Interactive,2009.0,19.99,1,2013,2,2851
DJKamBer304930,DJKamBer,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,0,770
Rainbow-Dashie730,Rainbow-Dashie,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,21385
MarbleShrine220200,MarbleShrine,220200,Kerbal Space Program,Squad,2015.0,39.99,1,2015,2,8592
PPanther211820,PPanther,211820,Starbound,Chucklefish,2016.0,14.99,1,2014,1,11721
devvonst218740,devvonst,218740,Pid,Might and Delight,2012.0,9.99,1,2014,1,29
devvonst550,devvonst,550,Left 4 Dead 2,Valve,2009.0,19.99,1,2015,2,7022
765611980583734348870,76561198058373434,8870,BioShock Infinite,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013.0,29.99,1,2015,1,962
7656119804835357733930,76561198048353577,33930,Arma 2: Operation Arrowhead,Bohemia Interactive,2010.0,19.99,1,2013,1,6684
76561198048353577368230,76561198048353577,368230,Kingdom: Classic,"Noio,Licorice",2015.0,4.99,1,2015,0,602
76561198066046412219640,76561198066046412,219640,Chivalry: Medieval Warfare,Torn Banner Studios,2012.0,24.99,1,2015,2,47800
tru_mu_287980,tru_mu_,287980,Mini Metro,Dinosaur Polo Club,2015.0,9.99,1,2015,1,620
76561198070565427208090,76561198070565427,208090,Loadout,Edge of Reality,2014.0,0.0,1,2015,1,944
SavageEeEe221100,SavageEeEe,221100,DayZ,Bohemia Interactive,2013.0,34.99,1,2015,2,54642
KanadeTheNeko4000,KanadeTheNeko,4000,Garry's Mod,Facepunch Studios,2006.0,9.99,1,2014,1,44455
KanadeTheNeko331470,KanadeTheNeko,331470,Everlasting Summer,Soviet Games,2014.0,0.0,1,2014,2,45
GoAwayZach304930,GoAwayZach,304930,Unturned,Smartly Dressed Games,2017.0,0.0,1,2014,2,8496
7656119805454047548700,76561198054540475,48700,Mount &amp; Blade: Warband,TaleWorlds Entertainment,2010.0,19.99,1,2014,1,8044
76561198061252210730,76561198061252210,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,2,41281
OfficialShroomsy113200,OfficialShroomsy,113200,The Binding of Isaac,Edmund McMillen and Florian Himsl,2011.0,4.99,1,2013,1,1319
VVillis213670,VVillis,213670,South Park™: The Stick of Truth™,Obsidian Entertainment,2014.0,29.99,1,2015,1,132
76561198083226897105600,76561198083226897,105600,Terraria,Re-Logic,2011.0,9.99,1,2015,0,12932
76561198075277292730,76561198075277292,730,Counter-Strike: Global Offensive,Valve,2012.0,14.99,1,2015,1,43739
76561198028895010620,76561198028895010,620,Portal 2,Valve,2011.0,19.99,1,2012,2,1903
diego903112100,diego9031,12100,Grand Theft Auto III,Rockstar Games,2002.0,9.99,1,2015,1,603
diego90311250,diego9031,1250,Killing Floor,Tripwire Interactive,2009.0,19.99,1,2015,1,1204
diego9031204360,diego9031,204360,Castle Crashers®,The Behemoth,2012.0,14.99,1,2015,2,665
diego9031299360,diego9031,299360,Block N Load,"Jagex,Artplant",2015.0,0.0,1,2015,1,577
76561198070194565248570,76561198070194565,248570,Toribash,Nabi Studios,2006.0,0.0,1,2015,1,1039
Rivtex298630,Rivtex,298630,The Escapists,Mouldy Toof Studios,2015.0,17.99,1,2015,1,5145
UTNerd242280,UTNerd24,2280,Ultimate Doom,id Software,1995.0,4.99,1,2013,2,27
UTNerd24257750,UTNerd24,257750,Bloody Trapland,2Play,2013.0,9.99,1,2015,1,43
UTNerd24221910,UTNerd24,221910,The Stanley Parable,Galactic Cafe,2013.0,14.99,1,2014,0,164
