item_id,title,developer,release_date,price
761140,Lost Summoner Kitty,Kotoshiro,2018.0,4.99
643980,Ironbound,Secret Level SRL,2018.0,0
670290,Real Pool 3D - Poolians,Poolians.com,2017.0,0
767400,弹炸人2222,彼岸领域,2017.0,0.99
772540,Battle Royale Trainer,Trickjump Games Ltd,2018.0,3.99
774276,SNOW - All Access Basic Pass,Poppermost Productions,2018.0,9.99
774277,SNOW - All Access Pro Pass,Poppermost Productions,2018.0,18.99
774278,SNOW - All Access Legend Pass,Poppermost Productions,2018.0,29.99
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development,2018.0,10.99
768880,Beach Rules,Copperpick Studio,2018.0,3.99
765320,Planetarium 2 - Zen Odyssey,Ghulam Jewel,2018.0,2.99
773650,The first thrust of God,Apillo,2018.0,1.59
774271,SNOW - Starter Pack,Poppermost Productions,2018.0,14.99
773690,The first thrust of God - All Aircrafts,Apillo,2018.0,1.99
774279,SNOW - Lifetime Pack,Poppermost Productions,2018.0,59.99
768060,The Warrior Of Treasures,Tero Lunkka,2018.0,0.99
775880,RC Plane 3 - Canyon Scenario,FrozenPepper,2017.0,2.99
775881,RC Plane 3 - F-53B,FrozenPepper,2017.0,2.99
653960,DinoBlaster,Casey Labrack,2018.0,4.99
282010,Carmageddon Max Pack,Stainless Games Ltd,1997.0,9.99
70,Half-Life,Valve,1998.0,9.99
752360,Fallen Mage,dev4play,2016.0,1.99
766850,Vaporwave Simulator,ETGgames,2018.0,0.99
754360,Underdone - Soundtrack,The Commander,2018.0,8.99
716110,Bitcoin Clicker,"lalalaZero,Urbanoff",2018.0,0.99
1640,Disciples II: Gallean's Return,Strategy First,2006.0,6.99
1630,Disciples II: Rise of the Elves,Strategy First,2006.0,6.99
2400,The Ship: Murder Party,Outerlight Ltd.,2006.0,9.99
759920,Souland,Ultraint,2017.0,7.99
603280,TAROTICA VOO DOO,TPM.CO SOFT WORKS,2017.0,10.99
753110,Chronicles of Vinland,Wonderbox Games,2017.0,9.99
753100,Orbitality,Wonderbox Games,2017.0,9.99
764280,Atomic Adam: Episode 1,Mad Unicorn Games,2017.0,1.99
758550,Mirt. Tales of the Cold Land. Chapter 2,Emanon Studios,2017.0,0.99
3800,Advent Rising,GlyphX Games,2005.0,9.99
1520,DEFCON,Introversion Software,2006.0,9.99
2420,The Ship: Single Player,Outerlight Ltd.,2006.0,9.99
4000,Garry's Mod,Facepunch Studios,2006.0,9.99
4230,RACE - The WTCC Game,SimBin,2006.0,39.99
2520,Gumboy - Crazy Adventures™,"CINEMAX, s.r.o.",2006.0,4.99
6200,Ghost Master®,Sick Puppies,2003.0,4.99
6210,Vegas: Make It Big™,Deepred,2006.0,4.99
6300,Dreamfall: The Longest Journey,Funcom,2006.0,19.99
2990,FlatOut 2™,Bugbear Entertainment,2006.0,9.99
6220,FlatOut,Bugbear Entertainment,2005.0,7.49
6510,Lost Planet™: Extreme Condition,"CAPCOM Co., Ltd.",2007.0,14.99
3980,CivCity: Rome,"FireFly Studios,Firaxis Games",2006.0,9.99
1700,Arx Fatalis,Arkane Studios,2002.0,4.99
6310,The Longest Journey,Funcom,2000.0,9.99
3990,Civilization IV®: Warlords,Firaxis Games,2006.0,4.99
7610,Railroad Tycoon 3,PopTop,2003.0,9.99
7600,Sid Meier's Railroads!,"Firaxis Games,Feral Interactive (Mac)",2006.0,9.99
7620,Railroad Tycoon II Platinum,PopTop,1998.0,4.99
2540,RIP - Trilogy™,Elephant Games,2007.0,4.99
7650,X-COM: Terror From the Deep,"MicroProse Software, Inc",1995.0,4.99
8000,Tomb Raider: Anniversary,"Crystal Dynamics,Feral Interactive (Mac)",2007.0,8.99
6550,Devil May Cry® 3 Special Edition,"CAPCOM Co., Ltd.",2006.0,19.99
8200,Sam &amp; Max 101: Culture Shock,Telltale Games,2006.0,19.99
2290,Final DOOM,id Software,1996.0,4.99
8210,Sam &amp; Max 102: Situation: Comedy,Telltale Games,2006.0,19.99
2280,Ultimate Doom,id Software,1995.0,4.99
9160,Master Levels for Doom II,id Software,1995.0,14.99
2300,DOOM II,id Software,1994.0,4.99
2270,Wolfenstein 3D,id Software,1994.0,4.99
9010,Return to Castle Wolfenstein,Gray Matter Studios,2001.0,4.99
9040,QUAKE Mission Pack 1: Scourge of Armagon,Ritual Entertainment,1997.0,2.99
9000,Spear of Destiny,id Software,1993.0,2.99
3810,BloodRayne,Terminal Reality,2003.0,9.99
9030,QUAKE Mission Pack 2: Dissolution of Eternity,Rogue Entertainment,2007.0,2.99
2310,QUAKE,id Software,2007.0,4.99
3230,Genesis Rising,Metamorf,2007.0,4.99
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",Relic Entertainment,2006.0,12.99
7670,BioShock™,"2K Boston,2K Australia",2007.0,19.99
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Relic Entertainment,2006.0,12.99
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Relic Entertainment,2006.0,12.99
4760,Rome: Total War™ - Collection,The Creative Assembly,2004.0,9.99
4770,Rome: Total War™ - Alexander,The Creative Assembly,2006.0,4.99
50970,Mystery Case Files: Madame Fate®,Big Fish Games,2007.0,6.99
12130,Manhunt,Rockstar North,2004.0,9.99
12160,Midnight Club 2,Rockstar San Diego,2003.0,9.99
12150,Max Payne 2: The Fall of Max Payne,Remedy Entertainment,2003.0,9.99
7000,Tomb Raider: Legend,Crystal Dynamics,2006.0,6.99
12140,Max Payne,Remedy Entertainment,2001.0,9.99
17480,Command &amp; Conquer: Red Alert 3,EA Los Angeles,2008.0,19.99
12500,PuzzleQuest: Challenge of the Warlords,Infinite Interactive,2007.0,9.99
12310,Culpa Innata,Momentum Digital Media Technologies,2007.0,9.99
12510,Prison Tycoon 3™: Lockdown,"Gamebryo,Virtual Playground",2007.0,9.99
12530,Hunting Unlimited™ 2008,SCS Software,2007.0,9.99
12520,18 Wheels of Steel: American Long Haul,SCS Software,2007.0,9.99
8100,Conflict: Denied Ops,Pivotal Games,2008.0,5.99
2780,ARMA: Combat Operations,Bohemia Interactive,2007.0,7.99
9710,Desperados 2: Cooper's Revenge,Spellbound,2006.0,9.99
9800,Death to Spies,Haggard Games,2007.0,4.99
9760,Act of War: High Treason,Eugen Systems,2006.0,2.99
2700,RollerCoaster Tycoon® 3: Platinum,"Frontier,Aspyr (Mac)",2006.0,19.99
2710,Act of War: Direct Action,Eugen Systems,2005.0,2.99
13200,Unreal 2: The Awakening,"Epic Games, Inc.",2003.0,14.99
13250,Unreal Gold,"Epic Games, Inc.",1998.0,9.99
13000,Ninja Reflex: Steamworks Edition,Sanzaru Games,2008.0,4.99
13560,Tom Clancy's Splinter Cell®,Ubisoft,2003.0,9.99
13520,Far Cry®,Crytek Studios,2004.0,9.99
13240,Unreal Tournament: Game of the Year Edition,"Epic Games, Inc.",2000.0,9.99
13540,Tom Clancy's Rainbow Six® Vegas,Ubisoft Montreal,2006.0,9.99
15210,Silent Hunter® III,Ubisoft,2005.0,9.99
16180,Virtual Villagers - The Secret City,Last Day of Work,2008.0,9.99
3520,Mystery P.I.™ - The Vegas Heist,SpinTop Games,2008.0,4.99
15970,Luxor,MumboJumbo,2008.0,9.99
15950,Reaxxion,MumboJumbo,2008.0,9.99
15960,Little Farm,MumboJumbo,2008.0,9.99
15900,7 Wonders II,MumboJumbo,2008.0,9.99
15910,Luxor Amun Rising,MumboJumbo,2005.0,9.99
15930,Luxor 3,MumboJumbo,2007.0,9.99
15160,Petz® Horsez® 2,Ubisoft,2007.0,9.99
15920,Luxor 2,MumboJumbo,2005.0,9.99
15080,Rayman Raving Rabbids™,"Ubisoft Bulgaria,Ubisoft Montpellier",2007.0,9.99
15200,Silent Hunter®: Wolves of the Pacific,Ubisoft Romania,2007.0,9.99
15320,IL-2 Sturmovik: 1946,1C: Maddox Games,2006.0,9.99
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Ubisoft Romania,2008.0,9.99
8310,Bone: Out From Boneville,Telltale Games,2005.0,9.99
12600,Midnight Outlaw: 6 Hours to SunUp,"Merscom,Babylon",2005.0,9.99
8320,Bone: The Great Cow Race,Telltale Games,2006.0,9.99
12590,Sprint Cars Road to Knoxville,BigAnt Studios,2008.0,9.99
12560,Ride! Carnival Tycoon,Gabriel Entertainment,2007.0,9.99
12540,Mahjongg Investigations: Under Suspicion,Zemnott,2007.0,9.99
11050,Dracula Origin,Frogwares,2008.0,9.99
11040,Sherlock Holmes - Nemesis,Frogwares,2008.0,9.99
19500,Eternity's Child,"Luc Bernard,SilverSphereStudios",2008.0,4.99
11260,Pacific Storm Allies,Lesta Studio,2007.0,7.99
19200,Tank Universal,Dialogue Design,2008.0,4.99
12360,FlatOut: Ultimate Carnage,Bugbear Entertainment,2008.0,19.99
15710,Oddworld: Abe's Exoddus®,Oddworld Inhabitants,1998.0,2.99
15700,Oddworld: Abe's Oddysee®,Oddworld Inhabitants,1997.0,2.99
8660,GTR Evolution Expansion Pack for RACE 07,SimBin,2008.0,7.99
7770,X-COM: Enforcer,"MicroProse Software, Inc",2001.0,4.99
7660,X-COM: Apocalypse,"MicroProse Software, Inc",1997.0,4.99
7760,X-COM: UFO Defense,"MicroProse Software, Inc",1993.0,4.99
20510,S.T.A.L.K.E.R.: Clear Sky,GSC Game World,2008.0,9.99
17330,Crysis Warhead®,Crytek,2008.0,19.99
17300,Crysis,Crytek,2007.0,19.99
7730,X-COM: Interceptor,"MicroProse Software, Inc",1998.0,4.99
20900,The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED,2008.0,9.99
1530,Multiwinia,Introversion Software,2008.0,9.99
8690,STCC - The Game 1 - Expansion Pack for RACE 07,SimBin,2008.0,2.99
17120,Children of the Nile: Alexandria,"Tilted Mill Entertainment, Inc.",2008.0,2.49
16810,Sid Meier's Civilization IV: Colonization,Firaxis Games,2008.0,19.99
19830,Tom Clancy's Rainbow Six® 3 Gold,"Red Storm Entertainment,Ubisoft Montreal",2003.0,9.99
21000,LEGO Batman,Traveller's Tales,2008.0,19.99
