title,item_id,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
! That Bastard Is Trying To Steal Our Gold !,4.499404499404499e+23,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"""Barely Attuned Magic Thingy"" Staff",3.0816330816330817e+29,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"""Glow Ball"" - The billiard puzzle game",3.883903883903884e+23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"""Just Another Day"" - Seduce Me Otome CD",454790454790.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"""Lethargic Sentience"" Wand",3.0816430816430816e+29,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"""Precisely Calibrated Stringstick"" Bow",3.0816230816230817e+29,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"""TWO DRAW""",7.208407208407208e+17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"""The Guard Of Dungeon"" - wallpaper 1920x1080",754550754550.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"""Toy Knife"" Dagger",3.0816030816030814e+29,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"""Unstable Anomaly"" Sword",3.0816130816130818e+29,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
#monstercakes,614910614910.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#monstercakes OST,635780635780.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
$1 Ride,5.082905082905082e+17,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
&gt;//:System.Hack,5.573305573305573e+23,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
&gt;observer_,514900514900.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'n Verlore Verstand Soundtrack,4.631904631904632e+17,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
(Romance) In The Digital Age,718900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
- Arcane RERaise -,6.0377060377060375e+29,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
- Arcane Raise -,6.0375060375060376e+29,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
- Arcane preRaise -,6.037806037806038e+29,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
- Occult RERaise -,6.983106983106984e+29,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
- Occult Raise -,6.704806704806704e+29,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
- Occult preRaise -,7.412707412707411e+29,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
.EXE,4.716404716404717e+17,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.EXE - OST,4.8999048999049e+17,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.hack//G.U. Last Recode,525480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
//N.P.P.D. RUSH//- The milk of Ultraviolet,270090270090.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
//SNOWFLAKE TATTOO//,3.5543035543035544e+23,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0-4-0 Saddletank Pack 1 Add-on Loco,275805.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0-4-0 Saddletank Pack 2 Add-on Loco,275806.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
001 Game Creator,3.4740034740034745e+41,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
001 Game Creator - 3D FPS / Survival Horror Kit,5.646815646815648e+41,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
001 Game Creator - General Music Add-On,7.365307365307365e+41,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
001 Game Creator - MMORPG Kit,5.646805646805648e+41,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
001 Game Creator - Point &amp; Click Adventure Kit,5.673605673605674e+41,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
0RBITALIS,278440278440.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0RBITALIS - Supernova Edition Upgrade,375860375860.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1 Blue Orb,359492.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 Moment Of Time: Silentville,497400497400.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1,000 Heads Among the Trees",406730.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10 Minute Barbarian,3.891203891203891e+17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10 Minute Tower,477010.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
