user_id,item_id,recommend,year_posted,sentiment_analysis
76561197970982479,1250,1,2011,2
76561197970982479,22200,1,2011,2
76561197970982479,43110,1,2011,1
js41637,251610,1,2014,2
js41637,227300,1,2013,1
js41637,239030,1,2013,1
evcentric,370360,1,2015,2
evcentric,237930,1,2014,2
evcentric,263360,1,2014,0
evcentric,107200,1,2014,2
evcentric,224500,1,2014,2
doctr,250320,1,2013,2
doctr,20920,1,2012,2
doctr,204100,1,2012,2
doctr,224600,1,2014,2
doctr,207610,1,2012,0
doctr,108710,1,2012,2
maplemage,211420,1,2014,1
maplemage,211820,1,2013,1
maplemage,730,1,2014,2
maplemage,204300,1,2013,2
Wackky,249130,1,2014,0
Wackky,207610,1,2012,0
Wackky,550,1,2012,1
Wackky,65800,1,2012,0
Wackky,220,1,2012,2
76561198089393905,72850,1,2015,0
76561198089393905,440,1,2014,1
76561198077246154,304930,1,2014,1
WeiEDKrSat,4000,1,2013,1
thequeenpanda,42910,1,2012,1
death-hunter,232090,1,2015,1
death-hunter,1250,1,2015,2
death-hunter,4000,1,2014,2
DJKamBer,304930,1,2014,0
DJKamBer,570,1,2013,2
DJKamBer,218620,1,2015,2
DJKamBer,224260,1,2013,1
DJKamBer,1250,1,2013,2
DJKamBer,440,1,2012,1
Rainbow-Dashie,730,1,2015,2
Rainbow-Dashie,440,1,2014,2
Rainbow-Dashie,49520,1,2014,0
76561198043472122,33440,0,2014,0
MarbleShrine,220200,1,2015,2
PPanther,211820,1,2014,1
devvonst,440,1,2014,2
devvonst,218740,1,2014,1
devvonst,550,1,2015,2
starkillershadow553,238090,1,2015,2
starkillershadow553,277430,1,2014,1
76561198058373434,8870,1,2015,1
76561198048353577,368230,1,2015,0
76561198048353577,33930,1,2013,1
76561198066046412,359320,0,2015,0
76561198066046412,219640,1,2015,2
tru_mu_,287980,1,2015,1
76561198070565427,208090,1,2015,1
76561198070565427,242700,1,2014,1
76561198070565427,570,0,2014,1
76561198070565427,224260,1,2014,1
SavageEeEe,221100,1,2015,2
76561198076909484,570,1,2014,0
KanadeTheNeko,331470,1,2014,2
KanadeTheNeko,4000,1,2014,1
GoAwayZach,304930,1,2014,2
76561198054540475,12210,1,2015,2
76561198054540475,265210,1,2014,1
76561198054540475,48700,1,2014,1
76561198061252210,730,1,2015,2
OfficialShroomsy,113200,1,2013,1
boydeer,440,1,2014,1
boydeer,383080,0,2015,1
VVillis,213670,1,2015,1
76561198083226897,105600,1,2015,0
76561198075277292,730,1,2015,1
76561198075277292,570,1,2015,2
76561198028895010,231180,1,2013,2
76561198028895010,620,1,2012,2
diego9031,223710,1,2015,1
diego9031,299360,1,2015,1
diego9031,322330,1,2015,2
diego9031,1250,1,2015,1
diego9031,12100,1,2015,1
diego9031,204360,1,2015,2
diego9031,440,1,2013,0
diego9031,224260,1,2013,1
jarrodtrim,440,1,2012,2
76561198067936203,440,1,2015,2
76561198079770573,1840,1,2015,1
76561198087586464,440,1,2013,2
Derp-e,440,1,2015,2
76561198070194565,233250,1,2014,1
76561198070194565,248570,1,2015,1
Rivtex,298630,1,2015,1
UTNerd24,244210,1,2014,1
UTNerd24,440,1,2015,0
UTNerd24,376920,1,2015,2
UTNerd24,257750,1,2015,1
UTNerd24,221910,1,2014,0
UTNerd24,2280,1,2013,2
sandwiches1,417860,0,2015,1
76561198138053270,218620,1,2014,2
lucaswerg,218620,1,2014,1
lucaswerg,222880,1,2014,1
Life-Of-Blu,377160,1,2015,2
Life-Of-Blu,211820,1,2013,1
CaptianAutismo,252490,1,2015,2
76561198075895633,440,1,2014,1
kube134,251990,1,2014,2
iamthekingofbrowntown,344760,0,2015,0
iamthekingofbrowntown,252950,1,2015,1
iamthekingofbrowntown,399730,1,2015,2
yookobz,377160,1,2015,2
yookobz,219150,1,2013,2
Posiblydead,277430,1,2014,2
Posiblydead,239820,1,2014,2
Posiblydead,17410,1,2012,2
Mossy_Gaming,440,1,2015,2
