item_id,title
22200,Zeno Clash
1250,Killing Floor
227300,Euro Truck Simulator 2
239030,"Papers, Please"
107200,Space Pirates and Zombies
224500,Gnomoria
263360,3089 -- Futuristic Action RPG
237930,Transistor
370360,TIS-100
20920,The Witcher 2: Assassins of Kings Enhanced Edition
108710,Alan Wake
207610,The Walking Dead
204100,Max Payne 3
250320,The Wolf Among Us
211420,DARK SOULS™: Prepare To Die™ Edition
204300,Awesomenauts - the 2D moba
730,Counter-Strike: Global Offensive
211820,Starbound
304930,Unturned
4000,Garry's Mod
42910,Magicka
232090,Killing Floor 2
220200,Kerbal Space Program
218740,Pid
550,Left 4 Dead 2
8870,BioShock Infinite
33930,Arma 2: Operation Arrowhead
368230,Kingdom: Classic
219640,Chivalry: Medieval Warfare
287980,Mini Metro
208090,Loadout
221100,DayZ
331470,Everlasting Summer
48700,Mount &amp; Blade: Warband
113200,The Binding of Isaac
213670,South Park™: The Stick of Truth™
105600,Terraria
620,Portal 2
12100,Grand Theft Auto III
204360,Castle Crashers®
299360,Block N Load
248570,Toribash
298630,The Escapists
2280,Ultimate Doom
257750,Bloody Trapland
221910,The Stanley Parable
376920,Tiki Man
417860,Emily is Away
377160,Fallout 4
252490,Rust
251990,Long Live The Queen
252950,Rocket League®
344760,Reign Of Kings
219150,Hotline Miami
17410,Mirror's Edge™
239820,Game Dev Tycoon
277430,Halo: Spartan Assault
270550,Yet Another Zombie Defense
274940,Depth
212070,Star Conflict
264140,Pixel Piracy
6020,STAR WARS™ Jedi Knight - Jedi Academy™
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
55230,Saints Row: The Third
332800,Five Nights at Freddy's 2
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
212680,FTL: Faster Than Light
391540,Undertale
200510,XCOM: Enemy Unknown
210770,Sanctum 2
264200,One Finger Death Punch
265610,Epic Battle Fantasy 4
47870,Need For Speed: Hot Pursuit
351640,Eternal Senia
253710,theHunter Classic
339280,Strife®
250180,METAL SLUG 3
295550,Royal Quest
227940,Heroes &amp; Generals
8850,BioShock® 2
220240,Far Cry 3
233720,Surgeon Simulator
320760,Tokyo School Life
209870,Blacklight: Retribution
362890,Black Mesa
322170,Geometry Dash
311560,Assassin’s Creed® Rogue
249570,The Castle Doctrine
316010,Magic Duels
218230,PlanetSide 2
301520,Robocraft
222880,Insurgency
206420,Saints Row IV
346110,ARK: Survival Evolved
370480,Pixel Galaxy
266210,One Way Heroics
221380,Age of Empires II HD
271590,Grand Theft Auto V
298110,Far Cry® 4
222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION
333950,Medieval Engineers
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH
287700,METAL GEAR SOLID V: THE PHANTOM PAIN
47410,Stronghold Kingdoms
317470,Cubic Castles
245620,Tropico 5
70,Half-Life
274980,Influent
200210,Realm of the Mad God
240,Counter-Strike: Source
31280,Poker Night at the Inventory
8930,Sid Meier's Civilization® V
237310,Elsword
230410,Warframe
107410,Arma 3
231430,Company of Heroes 2
7940,Call of Duty® 4: Modern Warfare®
33900,Arma 2
10180,Call of Duty®: Modern Warfare® 2
234190,Receiver
261030,The Walking Dead: Season 2
243470,Watch_Dogs™
203750,Binary Domain
304050,Trove
302830,BLOCKADE 3D
242760,The Forest
352460,Dead Realm
322920,theHunter: Primal
265750,Secret Ponchos
276340,My Riding Stables: Life with Horses
49520,Borderlands 2
223510,Miasmata
274920,FaceRig
268750,Magicite
360870,Ultimate Tic-Tac-Toe
12900,AudioSurf
6060,"Star Wars: Battlefront 2 (Classic, 2005)"
335670,LISA
215080,WAKFU
8190,Just Cause 2
500,Left 4 Dead
231040,Beatbuddy: Tale of the Guardians
47790,Medal of Honor™
220,Half-Life 2
380,Half-Life 2: Episode One
420,Half-Life 2: Episode Two
21100,F.E.A.R. 3
215470,Primal Carnage
219990,Grim Dawn
248860,NEO Scavenger
290020,LogicBots
298260,Only If
221260,Little Inferno
113020,Monaco: What's Yours Is Mine
204030,Fable - The Lost Chapters
