item_id,features
22200,"Zeno Clash, ACE Team, 2009.0"
1250,"Killing Floor, Tripwire Interactive, 2009.0"
227300,"Euro Truck Simulator 2, SCS Software, 2013.0"
239030,"Papers, Please, 3909, 2013.0"
107200,"Space Pirates and Zombies, MinMax Games Ltd., 2011.0"
224500,"Gnomoria, Robotronic Games, 2016.0"
263360,"3089 -- Futuristic Action RPG, Phr00t's Software, 2014.0"
237930,"Transistor, Supergiant Games, 2014.0"
370360,"TIS-100, Zachtronics, 2015.0"
20920,"The Witcher 2: Assassins of Kings Enhanced Edition, CD PROJEKT RED, 2011.0"
108710,"Alan Wake, Remedy Entertainment, 2012.0"
207610,"The Walking Dead, Telltale Games, 2012.0"
204100,"Max Payne 3, Rockstar Studios, 2012.0"
250320,"The Wolf Among Us, Telltale Games, 2013.0"
211420,"DARK SOULS™: Prepare To Die™ Edition, FromSoftware, 2012.0"
204300,"Awesomenauts - the 2D moba, Ronimo Games, 2012.0"
730,"Counter-Strike: Global Offensive, Valve, 2012.0"
211820,"Starbound, Chucklefish, 2016.0"
304930,"Unturned, Smartly Dressed Games, 2017.0"
4000,"Garry's Mod, Facepunch Studios, 2006.0"
42910,"Magicka, Arrowhead Game Studios, 2011.0"
232090,"Killing Floor 2, Tripwire Interactive, 2016.0"
220200,"Kerbal Space Program, Squad, 2015.0"
218740,"Pid, Might and Delight, 2012.0"
550,"Left 4 Dead 2, Valve, 2009.0"
8870,"BioShock Infinite, Irrational Games,Aspyr (Mac),Virtual Programming (Linux), 2013.0"
33930,"Arma 2: Operation Arrowhead, Bohemia Interactive, 2010.0"
368230,"Kingdom: Classic, Noio,Licorice, 2015.0"
219640,"Chivalry: Medieval Warfare, Torn Banner Studios, 2012.0"
287980,"Mini Metro, Dinosaur Polo Club, 2015.0"
208090,"Loadout, Edge of Reality, 2014.0"
221100,"DayZ, Bohemia Interactive, 2013.0"
331470,"Everlasting Summer, Soviet Games, 2014.0"
48700,"Mount &amp; Blade: Warband, TaleWorlds Entertainment, 2010.0"
113200,"The Binding of Isaac, Edmund McMillen and Florian Himsl, 2011.0"
213670,"South Park™: The Stick of Truth™, Obsidian Entertainment, 2014.0"
105600,"Terraria, Re-Logic, 2011.0"
620,"Portal 2, Valve, 2011.0"
12100,"Grand Theft Auto III, Rockstar Games, 2002.0"
204360,"Castle Crashers®, The Behemoth, 2012.0"
299360,"Block N Load, Jagex,Artplant, 2015.0"
248570,"Toribash, Nabi Studios, 2006.0"
298630,"The Escapists, Mouldy Toof Studios, 2015.0"
2280,"Ultimate Doom, id Software, 1995.0"
257750,"Bloody Trapland, 2Play, 2013.0"
221910,"The Stanley Parable, Galactic Cafe, 2013.0"
376920,"Tiki Man, Anarchy Enterprises, 2015.0"
417860,"Emily is Away, Kyle Seeley, 2015.0"
377160,"Fallout 4, Bethesda Game Studios, 2015.0"
252490,"Rust, Facepunch Studios, 2013.0"
251990,"Long Live The Queen, Hanako Games, 2013.0"
252950,"Rocket League®, Psyonix, Inc., 2015.0"
344760,"Reign Of Kings, Code}{atch, 2015.0"
219150,"Hotline Miami, Dennaton Games, 2012.0"
17410,"Mirror's Edge™, DICE, 2009.0"
239820,"Game Dev Tycoon, Greenheart Games, 2013.0"
277430,"Halo: Spartan Assault, Vanguard Games,343 Industries, 2014.0"
